decision_week,future_failure_events,simple_recall,simple_precision,simple_missed_failure_weeks,simple_total_cost,combined_recall,combined_precision,combined_missed_failure_weeks,combined_total_cost,cost_difference,horizon_weeks
2025-09-08,82,0.24390243902439024,0.4444444444444444,62,42900,0.3902439024390244,0.7111111111111111,50,35700,-7200,3
2025-09-15,80,0.3,0.5333333333333333,56,39300,0.3625,0.6444444444444445,51,36300,-3000,3
2025-09-22,79,0.2911392405063291,0.5111111111111111,56,39300,0.3291139240506329,0.5777777777777777,53,37500,-1800,3
2025-09-29,85,0.32941176470588235,0.6222222222222222,57,39900,0.38823529411764707,0.7333333333333333,52,36900,-3000,3
2025-10-06,93,0.3548387096774194,0.7333333333333333,60,41700,0.3333333333333333,0.6888888888888889,62,42900,1200,3
2025-10-13,103,0.3106796116504854,0.7111111111111111,71,48300,0.32038834951456313,0.7333333333333333,70,47700,-600,3
2025-10-20,110,0.3,0.7333333333333333,77,51900,0.32727272727272727,0.8,74,50100,-1800,3
2025-10-27,117,0.3247863247863248,0.8444444444444444,79,53100,0.2905982905982906,0.7555555555555555,83,55500,2400,3
2025-11-03,114,0.2982456140350877,0.7555555555555555,80,53700,0.3333333333333333,0.8444444444444444,76,51300,-2400,3
2025-11-10,103,0.27184466019417475,0.6222222222222222,75,50700,0.27184466019417475,0.6222222222222222,75,50700,0,3
2025-11-17,94,0.23404255319148937,0.4888888888888889,72,48900,0.2978723404255319,0.6222222222222222,66,45300,-3600,3
2025-11-24,94,0.30851063829787234,0.6444444444444445,65,44700,0.32978723404255317,0.6888888888888889,63,43500,-1200,3
2025-12-01,95,0.2631578947368421,0.5555555555555556,70,47700,0.2736842105263158,0.5777777777777777,69,47100,-600,3
2025-12-08,94,0.26595744680851063,0.5555555555555556,69,47100,0.2978723404255319,0.6222222222222222,66,45300,-1800,3
2025-12-15,89,0.2696629213483146,0.5333333333333333,65,44700,0.30337078651685395,0.6,62,42900,-1800,3
2025-12-22,89,0.3258426966292135,0.6444444444444445,60,41700,0.3258426966292135,0.6444444444444445,60,41700,0,3
2025-12-29,87,0.42528735632183906,0.8222222222222222,50,35700,0.41379310344827586,0.8,51,36300,600,3
2026-01-05,84,0.4880952380952381,0.9111111111111111,43,31500,0.4166666666666667,0.7777777777777778,49,35100,3600,3
2026-01-12,54,0.5,0.6,27,21900,0.5185185185185185,0.6222222222222222,26,21300,-600,3
2026-01-19,26,0.5769230769230769,0.3333333333333333,11,12300,0.34615384615384615,0.2,17,15900,3600,3
2026-01-26,0,,0.0,0,5700,,0.0,0,5700,0,3
